message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.284311])";"30";"turtlesim3.sim3";"1759148571.774430716";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.263599])";"30";"turtlesim3.sim3";"1759148571.758875233";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.242886])";"30";"turtlesim3.sim3";"1759148571.743086064";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.284311])";"30";"turtlesim2.sim2";"1759148571.734172683";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.222173])";"30";"turtlesim3.sim3";"1759148571.726477946";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.263599])";"30";"turtlesim2.sim2";"1759148571.718339165";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.284311])";"30";"turtlesim1.sim1";"1759148571.717915513";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.201461])";"30";"turtlesim3.sim3";"1759148571.710911429";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.263599])";"30";"turtlesim1.sim1";"1759148571.702218952";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.242886])";"30";"turtlesim2.sim2";"1759148571.702090586";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=7.035759])";"30";"turtlesim2.sim2";"1759148571.541691624";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.787207])";"30";"turtlesim1.sim1";"1759148571.334109465";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.704356])";"30";"turtlesim3.sim3";"1759148571.327312527";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.766494])";"30";"turtlesim1.sim1";"1759148571.318420866";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.745781])";"30";"turtlesim2.sim2";"1759148571.318193675";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.683643])";"30";"turtlesim3.sim3";"1759148571.310725292";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.725068])";"30";"turtlesim2.sim2";"1759148571.302137786";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.745781])";"30";"turtlesim1.sim1";"1759148571.301695417";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.662930])";"30";"turtlesim3.sim3";"1759148571.295140476";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.725068])";"30";"turtlesim1.sim1";"1759148571.286048862";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.704356])";"30";"turtlesim2.sim2";"1759148571.285634219";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.642218])";"30";"turtlesim3.sim3";"1759148571.278527609";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.704356])";"30";"turtlesim1.sim1";"1759148571.270298244";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.683643])";"30";"turtlesim2.sim2";"1759148571.270008267";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.621505])";"30";"turtlesim3.sim3";"1759148571.262982183";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.683643])";"30";"turtlesim1.sim1";"1759148571.254512428";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.662930])";"30";"turtlesim2.sim2";"1759148571.253640051";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.600792])";"30";"turtlesim3.sim3";"1759148571.246398230";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.662930])";"30";"turtlesim1.sim1";"1759148571.237769728";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.642218])";"30";"turtlesim2.sim2";"1759148571.237709176";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.580080])";"30";"turtlesim3.sim3";"1759148571.230851756";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.642218])";"30";"turtlesim1.sim1";"1759148571.222056335";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.621505])";"30";"turtlesim1.sim1";"1759148571.206278341";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.600792])";"30";"turtlesim2.sim2";"1759148571.206040674";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.538654])";"30";"turtlesim3.sim3";"1759148571.198713019";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.600792])";"30";"turtlesim1.sim1";"1759148571.189631881";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.580080])";"30";"turtlesim2.sim2";"1759148571.189433185";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.517941])";"30";"turtlesim3.sim3";"1759148571.183129669";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.580080])";"30";"turtlesim1.sim1";"1759148571.173962558";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.559367])";"30";"turtlesim1.sim1";"1759148571.158325082";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.538654])";"30";"turtlesim2.sim2";"1759148571.157383494";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.476516])";"30";"turtlesim3.sim3";"1759148571.150976964";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.538654])";"30";"turtlesim1.sim1";"1759148571.142562941";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.290102])";"30";"turtlesim3.sim3";"1759148571.006865762";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.352240])";"30";"turtlesim1.sim1";"1759148570.998514457";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.331527])";"30";"turtlesim2.sim2";"1759148570.997711292";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.269389])";"30";"turtlesim3.sim3";"1759148570.991160472";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.113281, y=6.331527])";"30";"turtlesim1.sim1";"1759148570.982491183";"./src/turtle.cpp:update:288"
